FC City,L3,Error_Description
FARIDABAD,Ketchups,Time Series Formed is very insignificant
FARIDABAD,Lassi,Time Series Formed is very insignificant
FARIDABAD,Leaf Tea,Time Series Formed is very insignificant
FARIDABAD,Loose Salt & Sugar,Time Series Formed is very insignificant
FARIDABAD,Maida,Time Series Formed is very insignificant
FARIDABAD,Mango Drinks,Time Series Formed is very insignificant
FARIDABAD,Marie & Digestive Biscuits,Time Series Formed is very insignificant
FARIDABAD,Masoor Dal,Time Series Formed is very insignificant
FARIDABAD,Milk Creams,Time Series Formed is very insignificant
FARIDABAD,Milk Powders,Time Series Formed is very insignificant
FARIDABAD,Milk Shakes,Time Series Formed is very insignificant
FARIDABAD,Mints & Gums,Time Series Formed is very insignificant
FARIDABAD,Mix Fruit Juices,Time Series Formed is very insignificant
FARIDABAD,Moong Dal,Time Series Formed is very insignificant
FARIDABAD,Mosquito Repellents,Time Series Formed is very insignificant
FARIDABAD,Mustard Oil,Time Series Formed is very insignificant
FARIDABAD,Namkeen,Time Series Formed is very insignificant
FARIDABAD,Noodles,Time Series Formed is very insignificant
FARIDABAD,Nuts & Seeds,Time Series Formed is very insignificant
FARIDABAD,Oats & Porridge,Time Series Formed is very insignificant
FARIDABAD,"Oils, Creams & Lotions",Time Series Formed is very insignificant
FARIDABAD,Olive Oil,Time Series Formed is very insignificant
FARIDABAD,Orange Juices,Time Series Formed is very insignificant
FARIDABAD,Other Atta,Time Series Formed is very insignificant
FARIDABAD,Other Biscuits & Cookies,Time Series Formed is very insignificant
FARIDABAD,Other Dry Fruits & Nuts,Time Series Formed is very insignificant
FARIDABAD,Other Flavoured Drinks,Time Series Formed is very insignificant
FARIDABAD,Other Juices,Time Series Formed is very insignificant
FARIDABAD,Other Kitchen Essentials,Time Series Formed is very insignificant
FARIDABAD,Other Pooja Accessories,Time Series Formed is very insignificant
FARIDABAD,Packaged Water,Time Series Formed is very insignificant
FARIDABAD,Palm Oil,Time Series Formed is very insignificant
FARIDABAD,Papad & Fryums,Time Series Formed is very insignificant
FARIDABAD,Peanuts,Time Series Formed is very insignificant
FARIDABAD,"Pencils, Erasers & Sharpeners",Time Series Formed is very insignificant
FARIDABAD,Pista,Time Series Formed is very insignificant
FARIDABAD,Poha,Time Series Formed is very insignificant
FARIDABAD,Powdered Spices,Time Series Formed is very insignificant
FARIDABAD,Pure Cow Ghee,Time Series Formed is very insignificant
FARIDABAD,Pure Desi Ghee,Time Series Formed is very insignificant
FARIDABAD,Raisins,Time Series Formed is very insignificant
FARIDABAD,Rajma,Time Series Formed is very insignificant
FARIDABAD,Rusk & Khari,Time Series Formed is very insignificant
FARIDABAD,Sabudana,Time Series Formed is very insignificant
FARIDABAD,Salt,Time Series Formed is very insignificant
FARIDABAD,Sanitary Pads,Time Series Formed is very insignificant
FARIDABAD,Sanitizers,Time Series Formed is very insignificant
FARIDABAD,Shampoos,Time Series Formed is very insignificant
FARIDABAD,Shaving Creams & Foams,Time Series Formed is very insignificant
FARIDABAD,Soda,Time Series Formed is very insignificant
FARIDABAD,Sooji & Rava,Time Series Formed is very insignificant
FARIDABAD,Soups,Time Series Formed is very insignificant
FARIDABAD,Soya Chunks,Time Series Formed is very insignificant
FARIDABAD,Soya Oil,Time Series Formed is very insignificant
FARIDABAD,Squashes & Syrups,Time Series Formed is very insignificant
FARIDABAD,Stain Removers,Time Series Formed is very insignificant
FARIDABAD,Sugar,Time Series Formed is very insignificant
